empid,firstname,lastname,startdate,exitdate,title,supervisor,ademail,businessunit,employeeclassificationtype,terminationdescription,division,dob,state,jobfunctiondescription,gendercode,locationcode,racedesc,maritaldesc,current_employee_rating,department_type_id,performance_id,termination_type_id,employee_status_id,employee_type_id,payzone_name_id,age,department_id,department_name,employee_status_type,employee_type,payzone_id,payzone_name,performance_score,termination_type,age_range,performance_score_decoded,tenure,tenure_in_years
2041,Sanai,Rose,2022-09-13,2025-10-06,Production Technician II,Tina Jenkins,sanai.rose@bilearner.com,PL,Part-Time,,General - Con,1997-04-18,MA,Laborer,Female,91981,Black,Single,3,13,2,1,3,1,3,28,13,Production       ,Active,Part-Time,3,Zone C,Fully Meets,Unk,25s-30s,2,1119,3.0657534246575344
2042,Luna,Arroyo,2019-11-24,2025-10-06,Production Technician II,Logan Middleton,luna.arroyo@bilearner.com,BPC,Part-Time,,General - Con,1992-02-29,MA,Technician,Female,79529,White,Married,3,13,2,1,3,1,3,33,13,Production       ,Active,Part-Time,3,Zone C,Fully Meets,Unk,30s-40s,2,2143,5.8712328767123285
2043,Lorelai,Hale,2020-03-19,2025-10-06,Production Technician II,Michelle Coleman,lorelai.hale@bilearner.com,CCDR,Part-Time,,Isp,1967-09-21,MA,Technician,Female,7492,White,Married,3,13,2,1,3,2,3,57,13,Production       ,Active,Contract,3,Zone C,Fully Meets,Unk,50s-60s,2,2027,5.553424657534246
2044,Darrell,Horne,2022-09-14,2025-10-06,Production Technician II,Christina Baldwin,darrell.horne@bilearner.com,SVG,Full-Time,,Wireline Construction,1992-02-20,MA,Operator,Female,16589,Black,Married,3,13,2,1,3,2,3,33,13,Production       ,Active,Contract,3,Zone C,Fully Meets,Unk,30s-40s,2,1118,3.063013698630137
2045,Itzel,Nunez,2021-09-21,2025-10-06,Production Technician II,Ricky Reyes,itzel.nunez@bilearner.com,EW,Part-Time,,Fielders,1976-11-19,MA,Engineer,Female,39813,Other,Divorced,3,13,2,1,3,1,2,48,13,Production       ,Active,Part-Time,2,Zone A,Fully Meets,Unk,40s-50s,2,1476,4.043835616438356
1737,Colleen,Zima,2018-10-27,2025-10-06,Production Technician I,Jacqueline Jones,colleen.zima@bilearner.com,TNS,Full-Time,,General - Eng,1983-02-26,MA,Engineer,Female,1730,Hispanic,Widowed,3,13,2,1,3,2,3,42,13,Production       ,Active,Contract,3,Zone C,Fully Meets,Unk,40s-50s,2,2536,6.947945205479452
2134,Beatrice,Faulkner,2022-02-28,2023-05-31,Production Technician I,Vanessa Garcia,beatrice.faulkner@bilearner.com,SVG,Temporary,Out always about must with ago here.,Aerial,2001-07-09,MA,Foreman,Female,36904,Hispanic,Widowed,2,13,4,4,3,1,1,24,13,Production       ,Active,Part-Time,1,Zone B,Exceeds,Resignation,20s-25s,3,457,1.252054794520548
2136,Darrell,Vaughan,2018-09-12,2020-07-11,Production Technician I,Elizabeth Ray,darrell.vaughan@bilearner.com,MSC,Part-Time,Despite expect democratic then affect toward.,Underground,1991-10-08,MA,Labor,Female,19006,Other,Divorced,1,13,4,3,3,1,2,33,13,Production       ,Active,Part-Time,2,Zone A,Exceeds,Involuntary,30s-40s,3,668,1.83013698630137
1745,Lindsey,Langford,2022-02-05,2025-10-06,Production Technician II,Erin Castro,lindsey.langford@bilearner.com,EW,Part-Time,,Aerial,1989-09-26,MA,Foreman,Female,2090,Other,Widowed,3,13,2,1,3,2,3,35,13,Production       ,Active,Contract,3,Zone C,Fully Meets,Unk,30s-40s,2,1339,3.6684931506849314
1748,Ashley,Rose,2022-01-13,2022-07-05,Production Technician I,Benjamin Hamilton,ashley.rose@bilearner.com,PYZ,Temporary,Listen cover book.,Underground,1973-01-09,MA,Laborer,Female,1886,White,Widowed,3,13,2,2,3,1,2,52,13,Production       ,Active,Part-Time,2,Zone A,Fully Meets,Retirement,50s-60s,2,173,0.473972602739726
1750,Alissa,Frey,2018-12-07,2025-10-06,Production Technician I,Chase Swanson,alissa.frey@bilearner.com,WBL,Full-Time,,Field Operations,1977-04-11,MA,Tower Hand,Female,3204,Other,Widowed,3,13,2,1,3,3,3,48,13,Production       ,Active,Full-Time,3,Zone C,Fully Meets,Unk,40s-50s,2,2495,6.835616438356165
1751,Presley,Steele,2023-04-19,2025-10-06,Production Technician I,Evan Durham,presley.steele@bilearner.com,NEL,Temporary,,General - Con,2001-05-29,MA,Lineman,Female,81228,Hispanic,Widowed,3,13,2,1,3,2,3,24,13,Production       ,Active,Contract,3,Zone C,Fully Meets,Unk,20s-25s,2,901,2.4684931506849317
1752,Boston,Avila,2022-03-05,2022-04-08,Production Technician I,Mario Johnson MD,boston.avila@bilearner.com,PL,Temporary,Person identify music conference.,General - Con,1982-11-04,MA,Mechanic,Male,56894,White,Single,3,13,2,4,3,1,1,42,13,Production       ,Active,Part-Time,1,Zone B,Fully Meets,Resignation,40s-50s,2,34,0.09315068493150686
1754,Felix,Fritz,2022-09-13,2025-10-06,Production Technician I,Alejandro Davies,felix.fritz@bilearner.com,CCDR,Temporary,,Project Management - Con,1991-11-18,MA,Manager,Male,61961,Asian,Single,3,13,2,1,3,1,3,33,13,Production       ,Active,Part-Time,3,Zone C,Fully Meets,Unk,30s-40s,2,1119,3.0657534246575344
1755,Amira,Mcmillan,2019-01-02,2025-10-06,Production Technician I,Duane Anderson,amira.mcmillan@bilearner.com,SVG,Full-Time,,General - Con,1994-10-05,MA,Foreman,Male,45449,Other,Widowed,3,13,2,1,3,1,1,30,13,Production       ,Active,Part-Time,1,Zone B,Fully Meets,Unk,30s-40s,2,2469,6.764383561643836
1757,Leia,Mccann,2020-01-09,2025-10-06,Production Technician I,Rebecca Conway,leia.mccann@bilearner.com,MSC,Temporary,,Finance & Accounting,1985-02-01,MA,Director,Female,74346,White,Widowed,3,13,2,1,3,3,2,40,13,Production       ,Active,Full-Time,2,Zone A,Fully Meets,Unk,40s-50s,2,2097,5.745205479452054
1760,Janessa,Mcconnell,2020-02-08,2020-05-04,Production Technician I,Sally Meadows,janessa.mcconnell@bilearner.com,WBL,Part-Time,Simply game everyone despite line.,General - Con,1993-08-20,MA,Foreman,Male,93320,Hispanic,Single,3,13,2,5,3,1,3,32,13,Production       ,Active,Part-Time,3,Zone C,Fully Meets,Voluntary,30s-40s,2,86,0.2356164383561644
1770,Hayley,York,2018-09-12,2025-10-06,Production Technician I,John Ramirez,hayley.york@bilearner.com,BPC,Full-Time,,General - Sga,1971-03-05,MA,Director,Male,2072,Hispanic,Single,3,13,2,1,3,1,2,54,13,Production       ,Active,Part-Time,2,Zone A,Fully Meets,Unk,50s-60s,2,2581,7.071232876712329
1774,Regina,Garcia,2019-09-14,2023-02-06,Production Technician I,Aaron Cochran,regina.garcia@bilearner.com,MSC,Part-Time,Wear television particular.,Field Operations,1989-09-24,MA,Technician,Female,96290,Asian,Widowed,3,13,2,3,3,3,1,35,13,Production       ,Active,Full-Time,1,Zone B,Fully Meets,Involuntary,30s-40s,2,1241,3.4
1775,Julie,Cochran,2018-10-06,2019-12-12,Production Technician I,Scott Smith,julie.cochran@bilearner.com,TNS,Full-Time,Sing participant involve themselves plan.,Engineers,1997-05-11,MA,Engineer,Male,23434,Black,Single,3,13,2,3,3,2,2,28,13,Production       ,Active,Contract,2,Zone A,Fully Meets,Involuntary,25s-30s,2,432,1.1835616438356165
1780,Colton,Booker,2022-12-10,2023-02-11,Production Technician I,Jason Taylor,colton.booker@bilearner.com,BPC,Temporary,Half nice continue serious move lay itself.,Field Operations,1993-07-11,MA,Engineer,Female,17208,Hispanic,Widowed,3,13,2,2,3,2,3,32,13,Production       ,Active,Contract,3,Zone C,Fully Meets,Retirement,30s-40s,2,63,0.1726027397260274
1781,Abril,Cunningham,2019-05-02,2025-10-06,Production Technician I,Angela Maxwell,abril.cunningham@bilearner.com,CCDR,Part-Time,,General - Sga,1983-12-11,MA,Supervisor,Female,88454,White,Divorced,3,13,2,1,3,2,2,41,13,Production       ,Active,Contract,2,Zone A,Fully Meets,Unk,40s-50s,2,2349,6.435616438356164
1783,Destiney,Pearson,2021-06-09,2025-10-06,Production Technician I,Julie Smith,destiney.pearson@bilearner.com,PYZ,Part-Time,,General - Con,1981-12-07,MA,Laborer,Female,27170,White,Widowed,3,13,2,1,3,1,3,43,13,Production       ,Active,Part-Time,3,Zone C,Fully Meets,Unk,40s-50s,2,1580,4.328767123287672
1784,Trystan,Ramos,2023-08-02,2023-08-02,Production Technician I,Mr. John Thomas,trystan.ramos@bilearner.com,WBL,Temporary,Need challenge education bank upon reach fall.,General - Con,1971-03-30,MA,Technician,Female,14325,Other,Divorced,3,13,2,2,3,1,2,54,13,Production       ,Active,Part-Time,2,Zone A,Fully Meets,Retirement,50s-60s,2,0,0.0
2480,Jason,Foss,2020-07-25,2025-10-06,IT Director,Renee Johnson,jason.foss@bilearner.com,CCDR,Part-Time,,Splicing,1977-03-26,MA,Technician,Male,1460,White,Widowed,2,16,2,1,3,1,3,48,16,IT/IS,Active,Part-Time,3,Zone C,Fully Meets,Unk,40s-50s,2,1899,5.2027397260273975
1191,Kaitlynn,Herman,2019-11-24,2025-10-06,Production Technician II,Tamara Carter,kaitlynn.herman@bilearner.com,BPC,Full-Time,,Wireline Construction,1978-04-25,MA,Billing,Female,55947,Black,Divorced,3,13,2,1,3,3,1,47,13,Production       ,Active,Full-Time,1,Zone B,Fully Meets,Unk,40s-50s,2,2143,5.8712328767123285
1192,Marquise,Santana,2022-09-23,2025-10-06,Production Technician II,Bryan Harris,marquise.santana@bilearner.com,CCDR,Full-Time,,General - Con,1988-12-07,MA,Technician,Female,75540,White,Single,3,13,2,1,3,3,3,36,13,Production       ,Active,Full-Time,3,Zone C,Fully Meets,Unk,30s-40s,2,1109,3.0383561643835617
1786,Tara,Hoover,2022-03-31,2022-06-14,Production Technician I,Daniel Banks,tara.hoover@bilearner.com,PL,Temporary,Treatment itself various campaign.,Field Operations,1979-11-10,MA,Laborer,Male,67173,Hispanic,Widowed,3,13,2,4,3,3,2,45,13,Production       ,Active,Full-Time,2,Zone A,Fully Meets,Resignation,40s-50s,2,75,0.2054794520547945
1788,Jakayla,Hall,2020-07-11,2025-10-06,Production Technician I,Reginald Hernandez,jakayla.hall@bilearner.com,CCDR,Full-Time,,Field Operations,1976-02-08,MA,Engineer,Male,50833,Other,Divorced,3,13,2,1,3,2,3,49,13,Production       ,Active,Contract,3,Zone C,Fully Meets,Unk,40s-50s,2,1913,5.241095890410959
1791,Marvin,Abbott,2021-03-06,2023-04-26,Production Technician I,Becky Cardenas,marvin.abbott@bilearner.com,MSC,Temporary,Year prove but moment house defense.,Wireline Construction,1981-08-02,MA,Clerk,Female,9310,Hispanic,Divorced,3,13,2,4,3,2,2,44,13,Production       ,Active,Contract,2,Zone A,Fully Meets,Resignation,40s-50s,2,781,2.1397260273972605
1807,Jeramiah,Schwartz,2019-09-04,2025-10-06,Production Technician I,Christina Hayden,jeramiah.schwartz@bilearner.com,SVG,Full-Time,,Yard (Material Handling),1979-11-13,MA,Lineman,Female,94163,White,Widowed,3,13,2,1,3,2,3,45,13,Production       ,Active,Contract,3,Zone C,Fully Meets,Unk,40s-50s,2,2224,6.093150684931507
1808,Aaden,Mercer,2023-07-26,2025-10-06,Production Technician I,Victoria Jacobs,aaden.mercer@bilearner.com,EW,Part-Time,,Splicing,1983-09-25,MA,Coordinator,Female,37289,Black,Married,3,13,2,1,3,1,2,41,13,Production       ,Active,Part-Time,2,Zone A,Fully Meets,Unk,40s-50s,2,803,2.2
1200,Carlee,Foley,2022-04-27,2025-10-06,Production Technician I,Sheryl Scott,carlee.foley@bilearner.com,BPC,Full-Time,,General - Con,1977-10-08,MA,Laborer,Female,62616,Other,Married,3,13,2,1,3,1,2,47,13,Production       ,Active,Part-Time,2,Zone A,Fully Meets,Unk,40s-50s,2,1258,3.4465753424657533
2371,Ahmed,Mcmahon,2022-11-21,2025-10-06,Data Analyst,Brian Ortiz MD,ahmed.mcmahon@bilearner.com,EW,Temporary,,Field Operations,2000-05-30,MA,Supervisor,Male,59104,White,Married,1,13,2,1,3,2,1,25,13,Production       ,Active,Contract,1,Zone B,Fully Meets,Unk,25s-30s,2,1050,2.8767123287671232
1370,Mateo,Mcdaniel,2022-05-19,2025-10-06,Administrative Assistant,Tommy Obrien,mateo.mcdaniel@bilearner.com,SVG,Temporary,,General - Con,1992-12-13,MA,Locator,Female,55619,Black,Married,3,14,4,1,3,1,2,32,14,Admin Offices,Active,Part-Time,2,Zone A,Exceeds,Unk,30s-40s,3,1236,3.3863013698630136
1372,Frankie,Davenport,2022-11-24,2025-10-06,Accountant I,Gary Clark,frankie.davenport@bilearner.com,MSC,Full-Time,,Aerial,1991-08-19,MA,Foreman,Male,34610,White,Single,3,14,4,1,3,2,2,34,14,Admin Offices,Active,Contract,2,Zone A,Exceeds,Unk,30s-40s,3,1047,2.8684931506849316
1373,Morgan,Hammond,2022-01-12,2022-11-11,Accountant I,Tina Shaw,morgan.hammond@bilearner.com,TNS,Part-Time,Account Republican reduce right.,Field Operations,1986-04-20,MA,Laborer,Male,20630,Other,Divorced,3,14,4,4,3,2,2,39,14,Admin Offices,Active,Contract,2,Zone A,Exceeds,Resignation,30s-40s,3,303,0.8301369863013699
1375,Luca,Francis,2021-07-14,2025-10-06,Sr. Accountant,Jeremy Anderson,luca.francis@bilearner.com,PYZ,Full-Time,,Technology / It,1999-07-07,MA,Intern,Female,1498,Asian,Divorced,3,14,4,1,3,2,1,26,14,Admin Offices,Active,Contract,1,Zone B,Exceeds,Unk,25s-30s,3,1545,4.232876712328767
1827,Jessie,Church,2021-09-19,2022-09-14,Production Technician I,Glenda Williams,jessie.church@bilearner.com,EW,Full-Time,Good technology same cut arrive anything remain.,Field Operations,1982-05-21,MA,Operator,Female,18674,Other,Widowed,3,13,3,3,3,2,3,43,13,Production       ,Active,Contract,3,Zone C,Needs Improvement,Involuntary,40s-50s,1,360,0.9863013698630136
1828,Kaylah,Ramos,2020-03-01,2022-03-26,Production Technician I,Patrick Hall,kaylah.ramos@bilearner.com,MSC,Temporary,Break field attorney.,Wireline Construction,1983-04-09,MA,Foreman,Male,64947,Black,Divorced,3,13,4,4,3,1,1,42,13,Production       ,Active,Part-Time,1,Zone B,Exceeds,Resignation,40s-50s,3,755,2.0684931506849313
1829,Camille,Fritz,2020-02-29,2025-10-06,Production Technician I,Joel Flynn,camille.fritz@bilearner.com,TNS,Temporary,,Engineers,1987-08-13,MA,Project Manager,Male,37531,White,Married,3,13,4,1,3,1,1,38,13,Production       ,Active,Part-Time,1,Zone B,Exceeds,Unk,30s-40s,3,2046,5.605479452054794
1833,Ainsley,Booth,2023-01-01,2025-10-06,Production Technician I,Anita Chapman,ainsley.booth@bilearner.com,PL,Full-Time,,Field Operations,1983-12-31,MA,Technician,Female,3284,White,Married,3,13,3,1,3,1,1,41,13,Production       ,Active,Part-Time,1,Zone B,Needs Improvement,Unk,40s-50s,1,1009,2.7643835616438355
1834,Dereon,Huffman,2020-07-31,2021-04-05,Production Technician II,Joseph Diaz,dereon.huffman@bilearner.com,CCDR,Full-Time,Child lose recently.,Project Management - Con,1978-09-13,MA,Coordinator,Female,80929,White,Divorced,3,13,3,4,3,2,3,46,13,Production       ,Active,Contract,3,Zone C,Needs Improvement,Resignation,40s-50s,1,248,0.6794520547945205
1835,Colin,Cherry,2021-09-10,2022-07-19,Production Technician II,Danielle Reyes,colin.cherry@bilearner.com,EW,Temporary,Strategy word southern.,Field Operations,1982-11-25,MA,Laborer,Female,5480,Asian,Single,3,13,3,4,3,1,1,42,13,Production       ,Active,Part-Time,1,Zone B,Needs Improvement,Resignation,40s-50s,1,312,0.8547945205479452
1836,Karla,Hines,2019-06-19,2025-10-06,Production Technician II,Daniel Hardy,karla.hines@bilearner.com,MSC,Temporary,,Field Operations,1971-01-14,MA,Laborer,Male,35394,Hispanic,Divorced,3,13,3,1,3,1,1,54,13,Production       ,Active,Part-Time,1,Zone B,Needs Improvement,Unk,50s-60s,1,2301,6.304109589041096
1837,Colton,Decker,2021-08-16,2025-10-06,Production Technician II,Michael Graves,colton.decker@bilearner.com,NEL,Full-Time,,Project Management - Con,1975-06-17,MA,Technician,Female,5981,Asian,Divorced,3,13,3,1,3,1,1,50,13,Production       ,Active,Part-Time,1,Zone B,Needs Improvement,Unk,50s-60s,1,1512,4.142465753424657
1839,Aydin,Perry,2021-08-17,2022-08-31,Production Technician I,Joshua Glenn,aydin.perry@bilearner.com,PYZ,Part-Time,First sing others lot film anyone.,People Services,1968-03-29,MA,Assistant,Female,74361,Other,Single,3,13,4,5,3,3,2,57,13,Production       ,Active,Full-Time,2,Zone A,Exceeds,Voluntary,50s-60s,3,379,1.0383561643835617
1840,Jenna,Casey,2021-01-08,2025-10-06,Production Technician I,Misty Brown,jenna.casey@bilearner.com,WBL,Part-Time,,General - Eng,1969-08-07,MA,Drafter,Female,56925,Hispanic,Single,3,13,4,1,3,3,1,56,13,Production       ,Active,Full-Time,1,Zone B,Exceeds,Unk,50s-60s,3,1732,4.745205479452054
1859,Mohamed,Gay,2020-12-31,2021-03-04,Production Technician I,Tammy Poole,mohamed.gay@bilearner.com,PYZ,Part-Time,Article hope tree happy affect check people.,Field Operations,1982-12-14,MA,Field Technician,Female,66623,Hispanic,Married,3,13,4,5,3,2,2,42,13,Production       ,Active,Contract,2,Zone A,Exceeds,Voluntary,40s-50s,3,63,0.1726027397260274
1862,Marie,Moyer,2021-08-30,2025-10-06,Production Technician I,Thomas Davis,marie.moyer@bilearner.com,PL,Temporary,,Aerial,1985-03-25,MA,Laborer,Male,25103,Other,Single,3,13,4,1,3,3,3,40,13,Production       ,Active,Full-Time,3,Zone C,Exceeds,Unk,40s-50s,3,1498,4.104109589041096
1863,Amari,Bowen,2019-11-04,2021-12-29,Production Technician I,Jennifer Boone,amari.bowen@bilearner.com,BPC,Full-Time,Nor director yard within car into final.,Engineers,1987-09-18,MA,Engineer,Female,87036,Other,Single,3,13,4,3,3,1,3,37,13,Production       ,Active,Part-Time,3,Zone C,Exceeds,Involuntary,30s-40s,3,786,2.1534246575342464
1864,Prince,Dickerson,2023-06-03,2023-07-18,Production Technician I,Karen Smith,prince.dickerson@bilearner.com,CCDR,Temporary,Take health either southern religious today.,Field Operations,1972-05-26,MA,Splicer,Female,51953,Hispanic,Married,3,13,4,4,3,3,2,53,13,Production       ,Active,Full-Time,2,Zone A,Exceeds,Resignation,50s-60s,3,45,0.1232876712328767
1865,Lane,Church,2021-02-14,2025-10-06,Production Technician I,Jamie Anderson,lane.church@bilearner.com,SVG,Part-Time,,Field Operations,1969-05-24,MA,Lineman,Female,67354,Asian,Single,3,13,4,1,3,1,3,56,13,Production       ,Active,Part-Time,3,Zone C,Exceeds,Unk,50s-60s,3,1695,4.6438356164383565
1866,Cassie,Nolan,2023-02-28,2025-10-06,Production Technician I,Kathleen Boyle,cassie.nolan@bilearner.com,EW,Temporary,,Field Operations,1980-05-22,MA,Operator,Male,81653,Asian,Divorced,3,13,4,1,3,2,2,45,13,Production       ,Active,Contract,2,Zone A,Exceeds,Unk,40s-50s,3,951,2.6054794520547944
1868,Briana,Wang,2022-03-22,2023-05-15,Production Technician I,Anthony Diaz,briana.wang@bilearner.com,TNS,Full-Time,Always agree room animal drug.,Field Operations,2000-11-28,MA,Laborer,Male,6756,Black,Single,3,13,3,4,3,1,2,24,13,Production       ,Active,Part-Time,2,Zone A,Needs Improvement,Resignation,20s-25s,1,419,1.1479452054794521
1890,Anthony,Terrell,2022-03-28,2025-10-06,Production Technician I,Cole Johns,anthony.terrell@bilearner.com,WBL,Full-Time,,Splicing,1968-05-24,MA,Laborer,Female,55466,White,Widowed,3,13,2,1,3,2,1,57,13,Production       ,Active,Contract,1,Zone B,Fully Meets,Unk,50s-60s,2,1288,3.5287671232876714
1895,Lillie,Bush,2022-12-07,2025-10-06,Production Technician II,Phillip Fernandez,lillie.bush@bilearner.com,EW,Part-Time,,Wireline Construction,1989-01-25,MA,Lineman,Female,23076,White,Married,3,13,2,1,3,1,2,36,13,Production       ,Active,Part-Time,2,Zone A,Fully Meets,Unk,30s-40s,2,1034,2.8328767123287673
1898,Shaun,Velazquez,2019-06-05,2020-10-20,Production Technician I,Benjamin Lang,shaun.velazquez@bilearner.com,MSC,Temporary,Benefit avoid fill begin any individual thousand.,Field Operations,1997-01-14,MA,Laborer,Female,5154,White,Single,3,13,2,5,3,3,3,28,13,Production       ,Active,Full-Time,3,Zone C,Fully Meets,Voluntary,25s-30s,2,503,1.378082191780822
1899,Kolton,Duarte,2020-12-12,2023-05-28,Production Technician I,Ashley Cannon,kolton.duarte@bilearner.com,TNS,Full-Time,Occur tough thousand on recent.,Field Operations,1982-09-06,MA,Laborer,Female,57914,Asian,Married,3,13,2,2,3,2,3,43,13,Production       ,Active,Contract,3,Zone C,Fully Meets,Retirement,40s-50s,2,897,2.4575342465753423
1904,Ezra,Zhang,2022-11-07,2025-10-06,Production Technician I,Brenda Rodriguez,ezra.zhang@bilearner.com,BPC,Part-Time,,General - Con,1982-10-11,MA,Laborer,Female,73332,Asian,Widowed,3,13,2,1,3,2,3,42,13,Production       ,Active,Contract,3,Zone C,Fully Meets,Unk,40s-50s,2,1064,2.915068493150685
1905,Sonia,Chung,2022-04-06,2025-10-06,Production Technician I,Sean Moon,sonia.chung@bilearner.com,CCDR,Temporary,,Wireline Construction,1972-03-10,MA,Vp,Female,85085,Asian,Married,3,13,2,1,3,1,1,53,13,Production       ,Active,Part-Time,1,Zone B,Fully Meets,Unk,50s-60s,2,1279,3.504109589041096
1907,Wade,Wiggins,2022-05-16,2025-10-06,Production Technician I,Charles Allen,wade.wiggins@bilearner.com,EW,Part-Time,,Field Operations,1988-11-04,MA,Operator,Male,89719,Asian,Widowed,3,13,2,1,3,3,3,36,13,Production       ,Active,Full-Time,3,Zone C,Fully Meets,Unk,30s-40s,2,1239,3.3945205479452056
1912,Erica,French,2020-03-06,2021-03-06,Production Technician II,Brett Sims,erica.french@bilearner.com,TNS,Temporary,Here relationship possible purpose instead.,Engineers,1987-10-16,MA,Engineer,Female,7544,Asian,Married,3,13,2,2,3,1,1,37,13,Production       ,Active,Part-Time,1,Zone B,Fully Meets,Retirement,30s-40s,2,365,1.0
1918,Callum,Blair,2023-01-09,2023-03-14,Production Technician I,Kayla Shelton,callum.blair@bilearner.com,MSC,Temporary,Talk beyond year seven.,Field Operations,1990-09-12,MA,Supervisor,Female,36065,Black,Single,3,13,2,3,3,2,1,34,13,Production       ,Active,Contract,1,Zone B,Fully Meets,Involuntary,30s-40s,2,64,0.17534246575342466
2833,Jacey,Reeves,2020-10-12,2025-10-06,Production Technician I,Sandy Wilson,jacey.reeves@bilearner.com,CCDR,Full-Time,,General - Con,1989-03-25,MA,Laborer,Male,11072,Asian,Married,2,13,2,1,3,2,2,36,13,Production       ,Active,Contract,2,Zone A,Fully Meets,Unk,30s-40s,2,1820,4.986301369863014
1929,Rose,Travis,2023-07-27,2025-10-06,Production Technician I,James Lee,rose.travis@bilearner.com,TNS,Full-Time,,Field Operations,1988-03-03,MA,Coordinator,Female,97011,Asian,Widowed,3,13,2,1,3,2,2,37,13,Production       ,Active,Contract,2,Zone A,Fully Meets,Unk,30s-40s,2,802,2.197260273972603
1953,Barbara,Sutwell,2023-04-06,2023-05-24,Production Technician I,Jeffrey Murphy,barbara.sutwell@bilearner.com,PL,Full-Time,Any adult enter these less.,Finance & Accounting,1976-02-20,MA,Cfo,Female,2718,Asian,Divorced,3,13,2,2,3,3,1,49,13,Production       ,Active,Full-Time,1,Zone B,Fully Meets,Retirement,40s-50s,2,48,0.13150684931506848
1955,Ludwick,Harrell,2020-10-10,2025-10-06,Production Technician I,Jonathan Huber,ludwick.harrell@bilearner.com,MSC,Temporary,,Field Operations,1998-04-04,MA,Engineer,Male,1776,White,Married,3,13,2,1,3,3,2,27,13,Production       ,Active,Full-Time,2,Zone A,Fully Meets,Unk,25s-30s,2,1822,4.991780821917808
1958,Lin,Chan,2019-07-04,2025-10-06,Production Technician I,Neil Aguilar,lin.chan@bilearner.com,PYZ,Full-Time,,Sales & Marketing,1990-10-18,MA,Assistant,Female,2170,Other,Married,3,13,2,1,3,2,1,34,13,Production       ,Active,Contract,1,Zone B,Fully Meets,Unk,30s-40s,2,2286,6.263013698630137
1959,Kamrin,Sander,2022-04-01,2022-04-28,Production Technician I,Kirsten Patel,kamrin.sander@bilearner.com,CCDR,Temporary,Nation fight role according team candidate.,Project Management - Con,1989-08-02,MA,Coordinator,Female,2154,Asian,Married,3,13,2,5,3,1,1,36,13,Production       ,Active,Part-Time,1,Zone B,Fully Meets,Voluntary,30s-40s,2,27,0.07397260273972603
1966,Kristie,Nowlan,2019-05-31,2025-10-06,Production Technician II,Jessica Klein,kristie.nowlan@bilearner.com,TNS,Part-Time,,General - Con,1971-03-04,MA,Technician,Female,1040,Other,Widowed,3,13,2,1,3,3,3,54,13,Production       ,Active,Full-Time,3,Zone C,Fully Meets,Unk,50s-60s,2,2320,6.3561643835616435
2178,Francis,Robbins,2022-11-01,2025-10-06,Production Technician I,Amy Hinton,francis.robbins@bilearner.com,WBL,Part-Time,,Fielders,1990-08-30,MA,Engineer,Female,86281,Hispanic,Married,4,13,1,1,3,2,1,35,13,Production       ,Active,Contract,1,Zone B,PIP,Unk,30s-40s,0,1070,2.9315068493150687
3006,Efrain,Underwood,2022-10-04,2025-10-06,Production Technician II,Michael Smith,efrain.underwood@bilearner.com,NEL,Full-Time,,Field Operations,1968-07-26,MA,Laborer,Female,88958,Asian,Single,1,13,2,1,3,1,3,57,13,Production       ,Active,Part-Time,3,Zone C,Fully Meets,Unk,50s-60s,2,1098,3.0082191780821916
2350,Rey,Werner,2020-02-19,2025-10-06,Network Engineer,Joanna Foster,rey.werner@bilearner.com,TNS,Temporary,,Wireline Construction,1973-04-24,MA,Laborer,Male,59836,Black,Divorced,2,15,2,1,3,1,2,52,15,Executive Office,Active,Part-Time,2,Zone A,Fully Meets,Unk,50s-60s,2,2056,5.632876712328767
2424,Jonathon,Montes,2019-02-26,2021-03-24,Network Engineer,Joseph Krause,jonathon.montes@bilearner.com,SVG,Full-Time,Author sure care fish.,Engineers,1974-08-18,MA,Technician,Male,47083,Hispanic,Divorced,2,15,2,4,3,3,3,51,15,Executive Office,Active,Full-Time,3,Zone C,Fully Meets,Resignation,50s-60s,2,757,2.073972602739726
2476,Case,Conley,2021-10-01,2023-06-21,President & CEO,Ryan Thompson,case.conley@bilearner.com,PYZ,Full-Time,Yard charge week wait address.,Yard (Material Handling),1967-07-11,MA,Runner,Male,6637,Other,Single,2,15,2,5,3,1,1,58,15,Executive Office,Active,Part-Time,1,Zone B,Fully Meets,Voluntary,50s-60s,2,628,1.7205479452054795
1306,Dane,Barton,2021-04-16,2025-10-06,Production Technician I,Christopher Norris,dane.barton@bilearner.com,PL,Part-Time,,Project Management - Con,1997-08-07,MA,Coordinator,Male,49042,Hispanic,Single,3,13,2,1,3,1,1,28,13,Production       ,Active,Part-Time,1,Zone B,Fully Meets,Unk,25s-30s,2,1634,4.476712328767123
1308,Atticus,Frost,2022-06-28,2023-03-07,Production Technician I,Isaac Foley,atticus.frost@bilearner.com,CCDR,Full-Time,Bar offer throughout different body quite.,Project Management - Con,1980-10-03,MA,Supervisor,Female,60350,Asian,Divorced,3,13,2,2,3,3,3,44,13,Production       ,Active,Full-Time,3,Zone C,Fully Meets,Retirement,40s-50s,2,252,0.6904109589041096
